dataset_a,dataset_b,jaccard_top5,jaccard_top10,spearman_corr,spearman_pvalue,kendall_tau,kendall_pvalue
aeeem_equinox,aeeem_equinox_hybrid,0.0,0.17647058823529413,0.8848039215686275,2.3891646531097093e-06,0.7205882352941176,1.148789053319355e-05
aeeem_equinox,aeeem_lucene,0.25,0.5384615384615384,0.39460784313725494,0.11700232160229733,0.2794117647058823,0.12878898834482916
aeeem_equinox,aeeem_lucene_hybrid,0.1111111111111111,0.17647058823529413,0.47058823529411764,0.05659410879699636,0.3823529411764705,0.034088901411189226
aeeem_equinox,aeeem_mylyn,0.25,0.5384615384615384,0.24019607843137256,0.3530886590520007,0.1176470588235294,0.5423278567488096
aeeem_equinox,aeeem_mylyn_hybrid,0.42857142857142855,0.17647058823529413,0.5098039215686275,0.036568145531216366,0.3676470588235294,0.04217070212970702
aeeem_equinox,aeeem_pde,0.25,0.5384615384615384,0.34068627450980393,0.18085079957050132,0.24999999999999997,0.17665741934030035
aeeem_equinox,aeeem_pde_hybrid,0.1111111111111111,0.1111111111111111,0.1593137254901961,0.5413616326261632,0.1176470588235294,0.5423278567488096
aeeem_equinox,cm1,0.0,0.0,,,,
aeeem_equinox,kc1,0.0,0.0,,,,
aeeem_equinox,pc1,0.0,0.0,,,,
aeeem_equinox,pc3,0.0,0.0,,,,
aeeem_equinox_hybrid,aeeem_lucene,0.0,0.17647058823529413,0.28186274509803927,0.2730598973799546,0.20588235294117643,0.27056053596407176
aeeem_equinox_hybrid,aeeem_lucene_hybrid,0.42857142857142855,0.42857142857142855,0.6860870269832267,5.304383626349525e-07,0.519163763066202,1.2705049210595357e-06
aeeem_equinox_hybrid,aeeem_mylyn,0.0,0.17647058823529413,0.29901960784313725,0.24365533759455596,0.19117647058823525,0.30811454449876985
aeeem_equinox_hybrid,aeeem_mylyn_hybrid,0.0,0.1111111111111111,0.19374442913864354,0.21892033533970492,0.11498257839721254,0.28331529325095495
aeeem_equinox_hybrid,aeeem_pde,0.0,0.17647058823529413,0.29656862745098045,0.24772866621670073,0.2352941176470588,0.20489900152579948
aeeem_equinox_hybrid,aeeem_pde_hybrid,0.1111111111111111,0.25,0.5614617940199336,0.00010950912792138111,0.43089430894308944,5.8032497073141975e-05
aeeem_equinox_hybrid,cm1,0.0,0.0,,,,
aeeem_equinox_hybrid,kc1,0.0,0.0,,,,
aeeem_equinox_hybrid,pc1,0.0,0.0,,,,
aeeem_equinox_hybrid,pc3,0.0,0.0,,,,
