source_dataset,target_dataset,feature_set,model,n_source_rows,n_target_rows,n_common_features,accuracy,precision,recall,f1,mcc,balanced_acc,auc_roc,pr_auc
pc3,pc1,static,lightgbm,1563,705,37,0.8822695035460993,0.34285714285714286,0.39344262295081966,0.366412213740458,0.3027239570801197,0.6610070257611241,0.8535790652683026,0.3221187505082114
aeeem_eclipse,aeeem_equinox,hybrid,logistic_regression,997,324,42,0.6728395061728395,0.6949152542372882,0.3178294573643411,0.43617021276595747,0.28605640735876786,0.6127608825283244,0.5229576624925463,0.5401629312955404
aeeem_eclipse,aeeem_equinox,hybrid,random_forest,997,324,42,0.6512345679012346,0.6904761904761905,0.2248062015503876,0.3391812865497076,0.2304641715335419,0.5790697674418605,0.6730669846948917,0.607034379165394
aeeem_eclipse,aeeem_equinox,hybrid,xgboost,997,324,42,0.6790123456790124,0.7450980392156863,0.29457364341085274,0.4222222222222222,0.3063397611274221,0.6139534883720931,0.6447624726694494,0.6201284505451057
aeeem_eclipse,aeeem_equinox,hybrid,lightgbm,997,324,42,0.6759259259259259,0.7857142857142857,0.2558139534883721,0.38596491228070173,0.3055475215354198,0.6048300536672631,0.6746173722917909,0.629289045054428
aeeem_eclipse,aeeem_lucene,hybrid,logistic_regression,997,691,42,0.7554269175108539,0.16129032258064516,0.390625,0.228310502283105,0.12738276622470537,0.5916442384370015,0.5785237240829346,0.2568304095499047
aeeem_eclipse,aeeem_lucene,hybrid,random_forest,997,691,42,0.8610709117221418,0.25,0.25,0.25,0.173444976076555,0.5867224880382775,0.7018789872408293,0.21412468353478387
aeeem_eclipse,aeeem_lucene,hybrid,xgboost,997,691,42,0.849493487698987,0.24358974358974358,0.296875,0.2676056338028169,0.18576462704572796,0.6013880582137161,0.6595893141945773,0.23837288747907184
aeeem_eclipse,aeeem_lucene,hybrid,lightgbm,997,691,42,0.8523878437047757,0.25,0.296875,0.2714285714285714,0.19084234592401841,0.6029829545454546,0.6567733253588517,0.23000171617892246
aeeem_equinox,aeeem_eclipse,hybrid,logistic_regression,324,997,42,0.2728184553660983,0.2182410423452769,0.9757281553398058,0.3566992014196983,0.09991867279463026,0.5327439765321027,0.694635032464743,0.35468810399960077
aeeem_equinox,aeeem_eclipse,hybrid,random_forest,324,997,42,0.4493480441323972,0.2621359223300971,0.9174757281553398,0.4077669902912621,0.2216180124722587,0.622454678236962,0.7535717354215506,0.4949469881787272
aeeem_equinox,aeeem_eclipse,hybrid,xgboost,324,997,42,0.3791374122367101,0.23761118170266837,0.9077669902912622,0.3766364551863041,0.14818052505536777,0.5746167441974642,0.6827292477262407,0.31546085527654033
aeeem_equinox,aeeem_eclipse,hybrid,lightgbm,324,997,42,0.39317953861584753,0.24191461836998707,0.9077669902912622,0.38202247191011235,0.1619381831305946,0.5834663017195881,0.7087440010801125,0.4288646378764732
aeeem_equinox,aeeem_lucene,hybrid,logistic_regression,324,691,42,0.44138929088277856,0.12383177570093458,0.828125,0.21544715447154472,0.13734891556490053,0.615019437799043,0.7159838516746412,0.2894496648230859
