dataset,feature_set,model,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,mcc_mean,mcc_std,balanced_acc_mean,balanced_acc_std,pr_auc_mean,pr_auc_std
aeeem_mylyn,hybrid,random_forest,5,0.8667992735449278,0.010493454750693293,0.49221745328293603,0.03769348144674808,0.48979591836734687,0.08895712129674845,0.4891431363796821,0.060575891247339884,0.8409528138740876,0.023553933558064552,0.4138746150669556,0.06462198953864948,0.7068661967711061,0.04226180963786665,0.4638313057364335,0.034559052522705073
aeeem_mylyn,hybrid,xgboost,5,0.8501686413560495,0.011158246966696558,0.44466730967518553,0.025642246468970713,0.5306122448979592,0.038180177416060626,0.48242033700587433,0.010222290341987253,0.844000056162816,0.019201981921513487,0.39888113471260245,0.011960898997537828,0.7146028391863568,0.01120298692362725,0.4555814660687707,0.04218249994613511
aeeem_mylyn,hybrid,lightgbm,5,0.8646559428060769,0.014363860301617426,0.48896434839291975,0.05931500362970226,0.47346938775510206,0.06356086327509157,0.47889774445242467,0.04769276890097383,0.8421749986544326,0.025847382552518103,0.4027224187631299,0.05553483072374606,0.6987029314649836,0.03090040950820033,0.4679879767040019,0.07227193742327849
aeeem_mylyn,hybrid,logistic_regression,10,0.7593841642228739,0.03627163204425855,0.3052926507182982,0.05575628806272111,0.6365000000000001,0.09428892424122728,0.41207682120750455,0.06895394455588949,0.7824236606344095,0.06727832412777753,0.3146939197285142,0.09074022827955715,0.7072270723104056,0.05737167562152174,0.4034193916175373,0.12713034770411544
aeeem_mylyn,hybrid,random_forest,10,0.8646598815479271,0.01576594686452509,0.4813063334665165,0.05955410814126553,0.49850000000000005,0.12734091988258608,0.4862903521687497,0.08950864576420713,0.8400849021036219,0.04005824746664529,0.41095857572977385,0.09652984780843742,0.7093642550417913,0.06093562658650101,0.472484082221943,0.07000195993832632
aeeem_mylyn,hybrid,xgboost,10,0.8501437525156691,0.024581260033632292,0.44874195561292335,0.07277293096807534,0.5678333333333334,0.08840161581675046,0.49955281052626505,0.07321534351858205,0.8434903477494057,0.04746038876013368,0.41822488363325955,0.08673879382085414,0.7304180852695346,0.04760224739593546,0.4645971181753789,0.08220760553790325
aeeem_mylyn,hybrid,lightgbm,10,0.864107871887758,0.028191816802827716,0.4918465589621336,0.10589015197585512,0.4903333333333334,0.09538356614930073,0.4881027748007466,0.09017700374211117,0.8510980273752013,0.04111579929344576,0.411810189952906,0.10679669423500612,0.7055703933747411,0.052870673829762876,0.48955414060797875,0.09780242446628801
aeeem_pde,static,logistic_regression,5,0.7628494983277593,0.011073496719806784,0.3057368919079265,0.018403978161519955,0.5502903600464577,0.05862627478052705,0.39248539183783104,0.02721425128240195,0.7185714506420502,0.031860954550031136,0.2777410914948817,0.034156996339201204,0.6738300652523181,0.024112652382187,0.3485036639259107,0.03635196760362619
aeeem_pde,static,random_forest,5,0.8263121516164995,0.023079443956689843,0.38907231865919356,0.07068253583174054,0.39744483159117305,0.04993787629082292,0.39107836387696765,0.05051646194484845,0.7719753526859053,0.029614876510063573,0.29143351512449517,0.06411985487787779,0.646702990705851,0.029021607274866586,0.36099223479872977,0.06590531914380877
aeeem_pde,static,xgboost,5,0.7995875139353401,0.015322455329903643,0.3293559380462685,0.03879126415460797,0.42659698025551684,0.09840901268245546,0.37008828294497886,0.05864273544012329,0.7640459861719499,0.013738457142440345,0.25755016908237394,0.06943421073774715,0.6434149200134399,0.04565194011285603,0.3443905678794771,0.031108629468700667
